Menu,Menu Group,Item Name,Modifier,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
FOOD,,,,9.43,126642.99995299999,1194525.4200000002,35323.960000000014,1159193.22,
FOOD,Wraps,,,11.78,766,9026.84,385.28999999999996,8641.55,
FOOD,Wraps,Catalina Wrap,,11.55,437,5046.38,259.95,4786.43,
FOOD,Wraps,Catalina Wrap,Traditional Rice,,156,0,0,0,
FOOD,Wraps,Catalina Wrap,No Avocado,,11,0,0,0,
FOOD,Wraps,Catalina Wrap,No Cheese,,8,0,0,0,
FOOD,Wraps,Catalina Wrap,Lettuce,,1,1,0,1,
FOOD,Wraps,Catalina Wrap,Rice,,1,1.75,0,1.75,
FOOD,Wraps,Catalina Wrap,Sauteed Veggies,,13,32.5,0,32.5,
FOOD,Wraps,Catalina Wrap,White Rice,,6,0,0,0,
FOOD,Wraps,Catalina Wrap,Sour Cream,,1,1.5,0,1.5,
FOOD,Wraps,Catalina Wrap,Refried Beans,,62,0,0,0,
FOOD,Wraps,Catalina Wrap,No Onion,,1,0,0,0,
FOOD,Wraps,Catalina Wrap,Black Beans,,35,0,0,0,
FOOD,Wraps,Catalina Wrap,Fries,,177,0,0,0,
FOOD,Wraps,Catalina Wrap,Beans,,2,3.5,0,3.5,
FOOD,Wraps,Catalina Wrap,Guacamole,,1,0,0,0,
FOOD,Wraps,Catalina Wrap,Avocado,,2,3,0,3,
FOOD,Wraps,Catalina Wrap,No Tomatoes,,38,0,0,0,
FOOD,Wraps,Catalina Wrap,Onion,,1,1.5,0,1.5,
FOOD,Wraps,Catalina Wrap,Jalapenos,,2,3,0,3,
FOOD,Wraps,Catalina Wrap,Rice,,1,0,0,0,
FOOD,Wraps,Catalina Wrap,Tomatoes,,1,0,0,0,
FOOD,Wraps,Carnitas Wrap,,11.6,75,870.25,40.04,830.21,
FOOD,Wraps,Carnitas Wrap,Refried Beans,,12,0,0,0,
FOOD,Wraps,Carnitas Wrap,Pico,,1,0,0,0,
FOOD,Wraps,Carnitas Wrap,Black Beans,,4,0,0,0,
FOOD,Wraps,Carnitas Wrap,Fries,,23,0,0,0,
FOOD,Wraps,Carnitas Wrap,No Cheese,,9,0,0,0,
FOOD,Wraps,Carnitas Wrap,White Rice,,2,0,0,0,
FOOD,Wraps,Carnitas Wrap,No Red Bell Peppers,,1,0,0,0,
FOOD,Wraps,Carnitas Wrap,No Tomatoes,,1,0,0,0,
FOOD,Wraps,Carnitas Wrap,No Hongos,,2,0,0,0,
FOOD,Wraps,Carnitas Wrap,Traditional Rice,,41,0,0,0,
FOOD,Wraps,Carnitas Wrap,No Onion,,4,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,,12.24,254,3110.21,85.3,3024.91,
FOOD,Wraps,Cheese Steak Wrap,No Green Bell Pepper,,22,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,White Rice,,4,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,Traditional Rice,,87,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,No Red Bell Peppers,,21,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,No Cilantro,,1,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,Sauteed Veggies,,4,10,0,10,
FOOD,Wraps,Cheese Steak Wrap,Beans,,1,1.75,0,1.75,
FOOD,Wraps,Cheese Steak Wrap,Refried Beans,,28,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,No Cheese,,2,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,No Onion,,12,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,Extra Mushrooms,,1,1.5,0,1.5,
FOOD,Wraps,Cheese Steak Wrap,Fries,,128,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,No Beans,,1,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,No Hongos,,30,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,Black Beans,,9,0,0,0,
FOOD,Wraps,Cheese Steak Wrap,Onion,,1,1.5,0,1.5,
FOOD,Tacos,,,9.71,11797.999998,114596.84999999998,3411.98,111184.87000000001,
FOOD,Tacos,Authentic Street Tacos,,11.87,4220.999998,50093.03,1602.73,48490.3,
